DATE,Sample ID,Result Parameter Name,Result Value,Result Value Units,Sample Matrix,Measured,Result (ug/L),No_Detect
2023-07-24 00:00:00,KIS-3,"Dibenz(a,h)anthracene",0.0033,mg/kg,Soil,,,0
2023-07-24 00:00:00,KIS-1,Fluoranthene,0.232,mg/kg,Soil,,,0
2023-07-24 00:00:00,KIS-2,Fluoranthene,0.0033,mg/kg,Soil,,,0
2023-07-24 00:00:00,KIS-3,Fluoranthene,0.0053,mg/kg,Soil,,,0
2023-07-24 00:00:00,KIS-1,Fluorene,0.0185,mg/kg,Soil,,,0
2023-07-24 00:00:00,KIS-2,Fluorene,0.0034,mg/kg,Soil,,,0
2023-07-24 00:00:00,KIS-3,Fluorene,0.0029,mg/kg,Soil,,,0
2023-07-24 00:00:00,KIS-1,"Indeno(1,2,3-cd)pyrene",0.0978,mg/kg,Soil,,,0
2023-07-24 00:00:00,KIS-2,"Indeno(1,2,3-cd)pyrene",0.0058,mg/kg,Soil,,,0
2023-07-24 00:00:00,KIS-3,"Indeno(1,2,3-cd)pyrene",0.005,mg/kg,Soil,,,0
2023-07-24 00:00:00,KIS-1,Naphthalene,0.166,mg/kg,Soil,,,0
2023-07-24 00:00:00,KIS-2,Naphthalene,0.0256,mg/kg,Soil,,,0
2023-07-24 00:00:00,KIS-3,Naphthalene,0.0035,mg/kg,Soil,,,0
2023-07-24 00:00:00,KIS-1,Phenanthrene,0.151,mg/kg,Soil,,,0
2023-07-24 00:00:00,KIS-2,Phenanthrene,0.0032,mg/kg,Soil,,,0
2023-07-24 00:00:00,KIS-3,Phenanthrene,0.0029,mg/kg,Soil,,,0
2023-07-24 00:00:00,KIS-1,Pyrene,0.189,mg/kg,Soil,,,0
2023-07-24 00:00:00,KIS-2,Pyrene,0.0040999999999999995,mg/kg,Soil,,,0
2023-07-24 00:00:00,KIS-3,Pyrene,0.007,mg/kg,Soil,,,0
2023-07-24 00:00:00,KIS-1,2-Fluorobiphenyl (S) %,51.0,mg/kg,Soil,,,0
2023-07-24 00:00:00,KIS-2,2-Fluorobiphenyl (S) %,67.0,mg/kg,Soil,,,0
2023-07-24 00:00:00,KIS-3,2-Fluorobiphenyl (S) %,59.0,mg/kg,Soil,,,0
2023-07-24 00:00:00,KIS-1,Terphenyl-d14 (S) %,56.0,mg/kg,Soil,,,0
2023-07-24 00:00:00,KIS-2,Terphenyl-d14 (S) %,70.0,mg/kg,Soil,,,0
2023-07-24 00:00:00,KIS-3,Terphenyl-d14 (S) %,56.0,mg/kg,Soil,,,0
2023-07-12 00:00:00,PPS-1,1-Methylnaphthalene,0.0029,mg/kg,Soil,,,0
2023-07-20 00:00:00,PPS-2,1-Methylnaphthalene,0.0609,mg/kg,Soil,,,0
2023-07-12 00:00:00,PPS-1,2-Methylnaphthalene,0.0029,mg/kg,Soil,,,0
2023-07-20 00:00:00,PPS-2,2-Methylnaphthalene,0.053,mg/kg,Soil,,,0
2023-07-12 00:00:00,PPS-1,Acenaphthene,0.0026,mg/kg,Soil,,,0
2023-07-20 00:00:00,PPS-2,Acenaphthene,0.099,mg/kg,Soil,,,0
2023-07-12 00:00:00,PPS-1,Acenaphthylene,0.0025,mg/kg,Soil,,,0
2023-07-20 00:00:00,PPS-2,Acenaphthylene,0.0069,mg/kg,Soil,,,0
2023-07-12 00:00:00,PPS-1,Anthracene,0.0025,mg/kg,Soil,,,0
2023-07-20 00:00:00,PPS-2,Anthracene,0.209,mg/kg,Soil,,,0
2023-07-12 00:00:00,PPS-1,Benzo(a)anthracene,0.0026,mg/kg,Soil,,,0
2023-07-20 00:00:00,PPS-2,Benzo(a)anthracene,0.233,mg/kg,Soil,,,0
2023-07-12 00:00:00,PPS-1,Benzo(a)pyrene,0.0023,mg/kg,Soil,,,0
2023-07-20 00:00:00,PPS-2,Benzo(a)pyrene,0.221,mg/kg,Soil,,,0
